Treatments,Time,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
COMM10<AC_passage1.0,0.0,0.002364947710061305,0.0008402452217814643,0.0008294266137756942,0.001312657771366751,0.0009700685178507033,0.0006794085827623512,0.0008121168409664623,0.0006462315182113235,0.0012874143526866212,0.0002574828705373241
COMM10<AC_passage1.0,24.0,0.00493521387942369,0.006957378475986397,0.0,0.4288625027256791,0.027778785496686813,0.0056392466655170856,0.0020069383530327656,0.0001483284349742836,0.03983778346996197,0.04166715583207121
COMM10<AC_passage2.0,0.0,0.0002467606939711845,0.0003478689237993199,0.0,0.021443125136283953,0.0013889392748343409,0.0002819623332758543,0.0001003469176516383,7.416421748714177e-06,0.0019918891734980984,0.0020833577916035606
COMM10<AC_passage2.0,24.0,0.002554494589729738,0.003267199150259503,0.0,0.5002795045894538,0.005426879094587743,0.000776301196233751,0.006661572173886021,0.0,0.012238536118339504,0.07296217975417667
COMM10<AC_passage3.0,0.0,0.00012772472948648694,0.00016335995751297515,0.0,0.025013975229472695,0.00027134395472938714,3.881505981168755e-05,0.00033307860869430107,0.0,0.0006119268059169751,0.0036481089877088333
COMM10<AC_passage3.0,24.0,0.0008530941918156939,0.0009636294281455212,0.0,0.3817400403354594,0.0033873349233832025,0.00029203571474917023,0.017073466877351545,0.0,0.0030395534548853724,0.12284897749362099
COMM10<AC_passage4.0,0.0,4.2654709590784686e-05,4.818147140727606e-05,0.0,0.019087002016772974,0.00016936674616916013,1.4601785737458514e-05,0.0008536733438675772,0.0,0.00015197767274426866,0.006142448874681049
COMM10<AC_passage4.0,24.0,0.0,0.0,0.0,0.4098006846971985,0.004965043753820492,0.00138228555875206,0.007276456320798322,0.0,0.0014174092663391147,0.1244914537364248
COMM10<BH_passage1.0,0.0,0.0008730030659996772,0.00020251734710343715,3.227368081329676e-05,0.0004744231079554624,0.0003453283847022753,0.00031224786186864615,0.006892851379699855,0.00028723575923834114,0.0005599483621106987,2.0171050508310473e-05
COMM10<BH_passage1.0,24.0,0.002823585995542449,0.011828563458256405,0.0013496832736637411,0.20235311879539167,0.022088274219495038,0.006157796120750177,0.005697740819091906,0.0023691434331189953,0.10166934843233204,0.3321627454523575
COMM10<BH_passage2.0,0.0,0.0001411792997771224,0.0005914281729128201,6.748416368318706e-05,0.010117655939769585,0.0011044137109747518,0.00030788980603750887,0.0002848870409545953,0.00011845717165594976,0.005083467421616601,0.016608137272617878
COMM10<BH_passage2.0,24.0,0.001534081997795335,0.0026901102497477367,0.0,0.435808447899155,0.005311680181652259,0.001626601512487276,0.0043799996688031195,0.0,0.0074383496172620925,0.14754406220643046
COMM10<BH_passage3.0,0.0,7.670409988976675e-05,0.0001345055124873868,0.0,0.02179042239495775,0.000265584009082613,8.133007562436378e-05,0.00021899998344015594,0.0,0.00037191748086310464,0.007377203110321524
COMM10<BH_passage3.0,24.0,0.0007267947913102358,0.0008309461437659918,0.0,0.352616683140573,0.006046143603961312,0.0,0.004126256225730038,0.0,0.0017990577136227821,0.04652078504770333
COMM10<BH_passage4.0,0.0,3.633973956551178e-05,4.15473071882996e-05,0.0,0.01763083415702865,0.0003023071801980656,0.0,0.00020631281128650198,0.0,8.995288568113911e-05,0.002326039252385167
COMM10<BH_passage4.0,24.0,0.0,0.0,8.057851239669422e-05,0.31806370378319854,0.0009768304415371995,0.0001477272727272727,0.0011969093168564184,0.0,0.0005694790919730078,0.009338345758695016
COMM10<BP_passage1.0,0.0,0.0010040734653040807,0.000405917244336454,3.072965053955549e-05,0.0005645679982848568,0.0008411348531408562,0.0007518044736654041,0.000424497963267348,0.0052869291788751535,0.0006224540841849496,6.789108840134353e-05
COMM10<BP_passage1.0,24.0,0.0024402860044266867,0.0037052523103022505,0.0003461500248385495,0.43197868925560307,0.007166152713129502,0.021070700746363042,0.003532248427565284,0.005156545130477402,0.04426033876022098,0.02367696996040659
COMM10<BP_passage2.0,0.0,0.00012201430022133437,0.00018526261551511257,1.7307501241927473e-05,0.02159893446278015,0.0003583076356564751,0.0010535350373181522,0.0001766124213782642,0.0002578272565238701,0.0022130169380110494,0.0011838484980203293
COMM10<BP_passage2.0,24.0,0.003292268223870558,0.0013698104227073623,0.0005551597395771347,0.4278885214605265,0.0032242950409615573,0.0006024809592796659,0.005913711690528528,0.00010874746226498365,0.012899339077306176,0.11314566592297753
COMM10<BP_passage3.0,0.0,0.0001646134111935279,6.849052113536812e-05,2.7757986978856738e-05,0.02139442607302632,0.00016121475204807786,3.0124047963983298e-05,0.0002956855845264264,5.437373113249183e-06,0.0006449669538653088,0.005657283296148876
COMM10<BP_passage3.0,24.0,0.0005024838148921025,0.0002648980764780309,0.0,0.41278194635051374,0.0005581968980519095,0.0007242477404994412,0.005430977111893625,0.0,0.0012439896838554304,0.0707432603238157
COMM10<BP_passage4.0,0.0,2.512419074460513e-05,1.3244903823901542e-05,0.0,0.02063909731752569,2.7909844902595475e-05,3.621238702497206e-05,0.0002715488555946812,0.0,6.219948419277151e-05,0.003537163016190785
COMM10<BP_passage4.0,24.0,0.00013516568504967576,0.0,0.0,0.34648679092564977,0.0015380755762038915,0.0023165518915068163,0.006668980064708175,0.0025793680497337387,0.0018176847800838944,0.19312404969373073
COMM10<BT_passage1.0,0.0,0.0010212884374565187,0.0002337553916794212,3.617642966467233e-05,0.0005920411854737718,0.006202866286350354,0.00042507304855989985,0.0004570752748017253,0.00032210936412967856,0.000682482259635453,2.713232224850424e-05
