Treatments,Time,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
COMM10<AC_passage1.0,0.0,0.002364947710061305,0.0008402452217814643,0.0008294266137756942,0.001312657771366751,0.0009700685178507033,0.0006794085827623512,0.0008121168409664623,0.0006462315182113235,0.0012874143526866212,0.0002574828705373241
COMM10<AC_passage1.0,24.0,0.05823280023171653,0.031799752982862015,0.0,0.40804621758147247,0.07202534511967246,0.012043248630604284,0.0031612784012712536,0.00022603254067584481,0.10866259571703096,0.05393442232813869
COMM10<AC_passage2.0,0.0,0.0029116400115858265,0.0015899876491431008,0.0,0.020402310879073623,0.0036012672559836236,0.0006021624315302142,0.00015806392006356264,1.130162703379224e-05,0.00543312978585155,0.002696721116406935
COMM10<AC_passage2.0,24.0,0.03981351476838931,0.013492062117970292,0.0017016145774843474,0.22602303724014658,0.8942961555476753,0.0008032705998449285,0.008076810552867965,0.0,0.024600646533670213,0.0341928880619512
COMM10<AC_passage3.0,0.0,0.0019906757384194657,0.0006746031058985146,8.508072887421739e-05,0.011301151862007327,0.04471480777738376,4.016352999224643e-05,0.0004038405276433983,0.0,0.001230032326683511,0.00170964440309756
COMM10<AC_passage3.0,24.0,0.011042860641685037,0.006211609110947832,0.0,0.11387950036737693,1.1353441097232426,0.0,0.006211609110947832,0.0,0.012768307616948324,0.12354200342885135
COMM10<AC_passage4.0,0.0,0.0005521430320842519,0.0003105804555473916,0.0,0.005693975018368847,0.056767205486162126,0.0,0.0003105804555473916,0.0,0.0006384153808474161,0.006177100171442568
COMM10<AC_passage4.0,24.0,0.0013401804569015165,0.0030847780022670765,0.0,0.19220330807928618,1.3139151338712434,0.0,0.004012595241660435,0.0,0.052571635528094164,0.07103903548721373
COMM10<BH_passage1.0,0.0,0.0008730030659996772,0.00020251734710343715,3.227368081329676e-05,0.0004744231079554624,0.0003453283847022753,0.00031224786186864615,0.006892851379699855,0.00028723575923834114,0.0005599483621106987,2.0171050508310473e-05
COMM10<BH_passage1.0,24.0,0.047040263300775736,0.016145117267711197,0.0,0.3867628568062543,0.04991899907511641,0.013416523117930379,0.01493050273596743,0.0007630205967188757,0.08780402191430764,0.08171869518521813
COMM10<BH_passage2.0,0.0,0.002352013165038787,0.0008072558633855599,0.0,0.019338142840312714,0.002495949953755821,0.0006708261558965187,0.0007465251367983714,3.815102983594379e-05,0.0043902010957153825,0.004085934759260906
COMM10<BH_passage2.0,24.0,0.04490360936686136,0.01311484223621095,0.0016136199396893879,0.3569364314662932,0.915442458466845,0.0034916029238441673,0.018175696347504034,0.0,0.04284007973930711,0.07914832618011153
