Treatments,Time,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
COMM10<AC_passage1.0,0.0,0.002364947710061305,0.0008402452217814643,0.0008294266137756942,0.001312657771366751,0.0009700685178507033,0.0006794085827623512,0.0008121168409664623,0.0006462315182113235,0.0012874143526866212,0.0002574828705373241
COMM10<AC_passage1.0,24.0,0.014661714902983897,0.10160662898563903,0.0007603260045494892,0.3845941571583354,0.27733479443762127,0.05652985422432379,0.0018757143724850947,0.002736442932589096,0.0893259771502124,0.1970743898312605
COMM10<AC_passage2.0,0.0,0.0007330857451491949,0.0050803314492819515,3.801630022747446e-05,0.019229707857916768,0.013866739721881063,0.0028264927112161896,9.378571862425475e-05,0.0001368221466294548,0.004466298857510619,0.009853719491563025
COMM10<AC_passage2.0,24.0,0.011976492533499467,0.21193770361104736,0.0,0.4655207810050193,0.1683427851022764,0.004875279861243312,0.0037005906347984618,0.0,0.023428024382783352,0.17471834286933227
COMM10<AC_passage3.0,0.0,0.0005988246266749735,0.01059688518055237,0.0,0.023276039050250958,0.008417139255113821,0.00024376399306216554,0.00018502953173992308,0.0,0.0011714012191391676,0.008735917143466615
COMM10<AC_passage3.0,24.0,0.006941372148974149,0.2217779502969072,0.0,0.4382520952914415,0.14599059750875107,0.0,0.1397084307077371,0.0,0.011819246212910936,0.18157626141902347
COMM10<AC_passage4.0,0.0,0.00034706860744870746,0.011088897514845361,0.0,0.021912604764572075,0.007299529875437552,0.0,0.006985421535386856,0.0,0.0005909623106455467,0.009078813070951175
COMM10<AC_passage4.0,24.0,0.008483973042964615,0.24750949287558988,0.0,0.3079129710139683,0.18101712999812944,0.0,0.03938489843730797,0.0,0.012873400371133681,0.19815146759423938
COMM10<BH_passage1.0,0.0,0.0008730030659996772,0.00020251734710343715,3.227368081329676e-05,0.0004744231079554624,0.0003453283847022753,0.00031224786186864615,0.006892851379699855,0.00028723575923834114,0.0005599483621106987,2.0171050508310473e-05
COMM10<BH_passage1.0,24.0,0.00923486111124648,0.09964803510046179,0.0,0.3449141648961202,0.18683160157918008,0.05414646169707687,0.020450399432879962,0.0013154636251275003,0.06687875195341363,0.1672469272711603
COMM10<BH_passage2.0,0.0,0.00046174305556232403,0.004982401755023089,0.0,0.017245708244806007,0.009341580078959003,0.0027073230848538425,0.0010225199716439983,6.577318125637502e-05,0.0033439375976706807,0.008362346363558015
COMM10<BH_passage2.0,24.0,0.012009319467600657,0.23280111537804757,0.00020463218147127413,0.40631831543776054,0.17942730032320134,0.005551041907574386,0.05148657650438166,0.0,0.020514103438288793,0.15468759536167379
COMM10<BH_passage3.0,0.0,0.0006004659733800329,0.011640055768902377,1.0231609073563705e-05,0.020315915771888026,0.008971365016160068,0.00027755209537871933,0.002574328825219083,0.0,0.00102570517191444,0.00773437976808369
COMM10<BH_passage3.0,24.0,0.007878961948993726,0.4328117412205655,0.0,0.3313590401694777,0.20556123197262285,0.0,0.03788983948504848,0.0,0.01248240039110242,0.05674623156522447
COMM10<BH_passage4.0,0.0,0.0003939480974496863,0.021640587061028282,0.0,0.016567952008473885,0.010278061598631144,0.0,0.0018944919742524238,0.0,0.000624120019555121,0.0028373115782612235
COMM10<BH_passage4.0,24.0,0.01164923609593619,0.2563892516522524,0.0,0.3462175050206257,0.161278517489763,0.0,0.039975933652884856,0.0,0.013769019704223945,0.2128872030509805
COMM10<BP_passage1.0,0.0,0.0010040734653040807,0.000405917244336454,3.072965053955549e-05,0.0005645679982848568,0.0008411348531408562,0.0007518044736654041,0.000424497963267348,0.0052869291788751535,0.0006224540841849496,6.789108840134353e-05
