Treatments,Time,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
COMM10<AC,0.0,0.00036163681092066734,0.00025184762799401777,8.294266137756942e-05,0.01979449649189556,0.0006459018445049367,0.0001685546119237352,0.00046734134516070115,6.68480783457466e-05,0.0009554795309164648,0.003587922983251765
COMM10<AC,24.0,0.0020857006652422808,0.002797051763597855,0.0,0.43017068308694767,0.010389510817119562,0.0020224672838130165,0.008254608431267164,3.70821087435709e-05,0.01413332057738149,0.09049244170407343
COMM10<BH,0.0,0.00016356724836968803,0.0002504960324868957,2.3472617186285794e-05,0.014909116058322344,0.0005362243085468568,0.00014799075068542642,0.0009023450886743615,6.426072742061905e-05,0.001719596172659324,0.007895430995648201
COMM10<BH,24.0,0.0012711156961620047,0.0038374049629425334,0.0003575654465151089,0.3272104884045796,0.008605732111661452,0.0019830312264911814,0.003850226507620371,0.0005922858582797488,0.02786905871379748,0.13389148461629655
COMM10<BP,0.0,0.00021268944233754198,0.00013262960688174431,1.8436235022434237e-05,0.018980316026750627,0.00027283574511774504,0.00045280072261797273,0.0002649432991300869,0.0006751914519762791,0.0010356449697999518,0.003073956944810059
COMM10<BP,24.0,0.0016916479427113607,0.0014322713047258998,0.00024581175393155024,0.40405689978421494,0.0033547239806353333,0.006674336024767954,0.005382434070199383,0.0021394529024934884,0.01631091520186764,0.10284787067081598
COMM10<BT,0.0,0.0001542537348108075,0.00012017935181183512,7.076275299461794e-05,0.016305024486908976,0.0009190892320487459,0.00046936026764336883,0.00019994729479571788,4.679527628759754e-05,0.0008615815349331017,0.00833799789228324
COMM10<BT,24.0,0.0009477252920937387,0.0017600693207980543,0.0012208201823300127,0.36163320775890206,0.005855711001447858,0.007760962959770523,0.003388453247238253,0.0002651698159023579,0.014696712518202688,0.16047625903854118
COMM10<BV,0.0,0.00015329598475400557,0.000957747775646322,2.1300597582829296e-05,0.016708068538321026,0.00016823276578143169,0.00042299606698891027,0.00016204064076839745,9.347351156726696e-05,0.0012163142003932248,0.008327513386451862
COMM10<BV,24.0,0.0005669052090493369,0.006516852705289267,0.0003458922419431717,0.37234536992258166,0.002749919539594742,0.006153301264654645,0.0046357256817259355,0.00943584227390983,0.018706270803396582,0.15666499530166958
COMM10<DL,0.0,0.00020957433839843319,8.955367272987108e-05,1.3729034462005151e-05,0.016692691545591,0.00030063697619342965,0.0008721497129140447,0.0003037683240177857,3.617550815675856e-05,0.000569646474194805,0.0031311190750268874
