Treatments,Time,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
COMM10<AC,0.0,0.00220300474902018,0.0009930747428067129,0.0001355836000497933,0.012764627626622307,0.02533568738801437,0.00032579830841621664,0.00035105132995434207,8.501704991408753e-05,0.0027394145088924017,0.002456709950061672
COMM10<AC,24.0,0.03092023470127071,0.0151341388420246,0.0005104843732453042,0.25926971890700923,0.7976054013339016,0.0038539557691347633,0.005196366169834679,6.780976220275344e-05,0.05702729409533343,0.060104104106076216
COMM10<BH,0.0,0.0016907471990546168,0.0005370490875443798,3.6129693012503726e-05,0.01445649913802751,0.030776444776743003,0.0003164963075705364,0.00146100004890919,4.4632094305130276e-05,0.002442538090662697,0.003267464843130963
COMM10<BH,24.0,0.026332969796483453,0.009625742968350516,0.0007325734830511045,0.2969165297306662,0.872549200624447,0.004611307102302149,0.013494123091502884,0.0002080965263778752,0.05469410933130863,0.08917355009213707
COMM10<BP,0.0,0.001791249850156908,0.0004765861330925891,5.556190619112241e-05,0.014071183806447207,0.023389737006471317,0.0005134646458236042,0.00035119216681251693,0.0008408652873180252,0.0026340432563925413,0.002788146470588039
COMM10<BP,24.0,0.026444998171278707,0.009107435142418852,0.0007960082062184476,0.2862958337975796,0.8170900206046835,0.006502987588650134,0.00631924584227412,0.0013313951830022745,0.05695454918454675,0.05456689006836352
COMM10<BT,0.0,0.0021743945986229495,0.0005218488113546629,0.00010987764142951622,0.01464222549784318,0.022765267122313602,0.0004001566754884061,0.00037212593703831267,4.026367051620982e-05,0.0023315267830355847,0.003523413016935476
COMM10<BT,24.0,0.03321055468877017,0.009752236879805002,0.001685689403542915,0.28292643768837816,0.7588785971589292,0.005552360710694697,0.005586989708966788,0.0,0.04896713570042606,0.07508759413373342
COMM10<BV,0.0,0.002183320558229106,0.0013696162480931913,9.07548278958479e-05,0.011957124497912605,0.02495677498991193,0.00024573292091664174,0.00037757208951039807,0.00010515770051317534,0.0025211117336347774,0.004305233846170492
COMM10<BV,24.0,0.032797396936047864,0.012525211748847917,0.0013552081925366454,0.23404718192740778,0.7935107307887099,0.003086428919985993,0.0052152488571039785,0.0,0.05211825995393242,0.08774272328003828
COMM10<DL,0.0,0.0012683902190273528,0.0004769263630130135,6.553162112654307e-05,0.013161232860421784,0.034193368004445626,0.0015021863371719921,0.00029751662055961395,3.072166940392233e-05,0.0016270228424122683,0.003033399743235036
COMM10<DL,24.0,0.019622352989838054,0.008484657312688723,0.0010149064668161648,0.263679031565614,0.9051137625241134,0.016565437761355255,0.004970115057878348,0.0,0.04021963406862605,0.07210170693335594
COMM10<DP,0.0,0.003229596196855658,0.0008217825912777487,7.383971092417545e-05,0.013019444794199728,0.033166408411782936,0.00024125833204159507,0.0003215198337254204,3.725468720133908e-05,0.00303839152317632,0.0029529481481692403
COMM10<DP,24.0,0.05274033935545297,0.014054859857010204,0.0011663649809122473,0.23979955330223776,0.8846013184637055,0.0034009666895331516,0.006160597154869364,0.0001788704870655806,0.05776803905521422,0.0732948278099018
COMM10<EL,0.0,0.0024186710157793824,0.0008422040800755887,3.09486541660687e-05,0.010056577259077427,0.030023853689470387,0.0005304010975813689,0.00039003362965293767,0.00011665875055815825,0.002458533128739209,0.0040647078867177555
COMM10<EL,24.0,0.03732962550388734,0.014908351778349085,0.00032354974511594335,0.2556045969862115,0.8594480457228324,0.006892722289848312,0.008074203325199925,0.0003551564712772915,0.05637631157284105,0.07330886367352965
COMM10<PJ,0.0,0.005234842412756697,0.0005007797538443504,4.48739835831769e-05,0.010625932034632727,0.029706876373102407,0.00013151484891388377,0.00027237030195563917,2.8826673274603147e-05,0.0024092509696522877,0.0036492974988665433
COMM10<PJ,24.0,0.07215964571305562,0.008966183943057994,0.0008383821317247842,0.21427929622184286,0.8206632211936096,0.0017633987315873179,0.005603583435499898,5.46080520108063e-05,0.05055605968356334,0.10232668208539483
COMM10<equal,0.0,0.0032145993816125934,0.00044701115949254144,7.881683841343335e-05,0.01698062517085242,0.026825365449504774,0.0003853292649558043,0.00044385385441225424,0.00010122160516734575,0.0024795304898981942,0.004572841226502204
COMM10<equal,24.0,0.049619063746725,0.007622415980724437,0.0011459675125435609,0.3225861232636945,0.8099537692021549,0.004219448366107041,0.006193018483457563,0.00018140485819272283,0.051213680482710584,0.0915155625896971
MonospeciesAC,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,2.7572222222222216,0.0,0.0,0.0197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,4.784166666666667,0.0,0.0,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,6.784722222222222,0.0,0.0,0.020700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,8.785,0.0,0.0,0.023366666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,9.697222222222225,0.0,0.0,0.026866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,11.697777777777775,0.0,0.0,0.03303333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,13.698055555555555,0.0,0.0,0.037966666666666656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,15.698611111111116,0.0,0.0,0.042833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,17.698611111111113,0.0,0.0,0.18086666666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
